time (ticks);Sheep;Speed;Climat Preference;Food Range;Fertility Rate;Wlof;Speed;Climat Preference;Food Range;Fertility Rate;
0;;8,000000;0,500000;50,000000;50,000000;;10,000000;0,500000;32,000000;50,000000;;
100;;7,990390;0,499867;49,960064;49,939999;;10,002803;0,500140;32,008968;50,021126;;
200;;8,005942;0,501037;49,862083;49,945457;;10,003619;0,500726;32,011578;50,036366;;
300;;8,017336;0,500977;49,864803;49,925285;;9,985728;0,501585;32,111698;49,928967;;
400;;7,996603;0,501271;49,879124;49,967972;;9,942924;0,504002;32,073853;49,853786;;
